SuperWEB2(tm),,,,,
,,,,,
Census 2022-Person-2Fv1,,,,,
Scotland's Census 2022 - National Records of Scotland Table UV501a - Highest level of qualification by sex by age (16) All people aged 16 and over,,,,,
United Kingdom Parliamentary Constituency 2024 by Sex and Age by Highest Level of Qualification,,,,,
Counting: Individuals,,,,,
,,,,,
Filters:,,,,,
Default Summation,Individuals,,,,
,,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Sex,Age,Highest Level of Qualification,Count
Individuals,Alloa and Grangemouth,Male,60 to 64,All people aged 16 and over,3210
Individuals,Alloa and Grangemouth,Male,60 to 64,No qualifications,752
Individuals,Alloa and Grangemouth,Male,60 to 64,Lower school qualifications,509
Individuals,Alloa and Grangemouth,Male,60 to 64,Upper school qualifications,216
Individuals,Alloa and Grangemouth,Male,60 to 64,Apprenticeship qualifications,697
Individuals,Alloa and Grangemouth,Male,60 to 64,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,361
Individuals,Alloa and Grangemouth,Male,60 to 64,Degree level qualifications or above,671
Individuals,Alloa and Grangemouth,Male,65 to 69,All people aged 16 and over,2557
Individuals,Alloa and Grangemouth,Male,65 to 69,No qualifications,661
Individuals,Alloa and Grangemouth,Male,65 to 69,Lower school qualifications,290
Individuals,Alloa and Grangemouth,Male,65 to 69,Upper school qualifications,154
Individuals,Alloa and Grangemouth,Male,65 to 69,Apprenticeship qualifications,705
Individuals,Alloa and Grangemouth,Male,65 to 69,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,247
Individuals,Alloa and Grangemouth,Male,65 to 69,Degree level qualifications or above,500
Individuals,Alloa and Grangemouth,Male,70 to 74,All people aged 16 and over,2411
Individuals,Alloa and Grangemouth,Male,70 to 74,No qualifications,684
Individuals,Alloa and Grangemouth,Male,70 to 74,Lower school qualifications,247
Individuals,Alloa and Grangemouth,Male,70 to 74,Upper school qualifications,92
Individuals,Alloa and Grangemouth,Male,70 to 74,Apprenticeship qualifications,678
Individuals,Alloa and Grangemouth,Male,70 to 74,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,221
Individuals,Alloa and Grangemouth,Male,70 to 74,Degree level qualifications or above,489
Individuals,Alloa and Grangemouth,Male,75 to 79,All people aged 16 and over,1820
Individuals,Alloa and Grangemouth,Male,75 to 79,No qualifications,599
Individuals,Alloa and Grangemouth,Male,75 to 79,Lower school qualifications,197
Individuals,Alloa and Grangemouth,Male,75 to 79,Upper school qualifications,57
Individuals,Alloa and Grangemouth,Male,75 to 79,Apprenticeship qualifications,507
Individuals,Alloa and Grangemouth,Male,75 to 79,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,136
Individuals,Alloa and Grangemouth,Male,75 to 79,Degree level qualifications or above,322
Individuals,Alloa and Grangemouth,Male,80 to 84,All people aged 16 and over,960
Individuals,Alloa and Grangemouth,Male,80 to 84,No qualifications,356
Individuals,Alloa and Grangemouth,Male,80 to 84,Lower school qualifications,91
Individuals,Alloa and Grangemouth,Male,80 to 84,Upper school qualifications,29
Individuals,Alloa and Grangemouth,Male,80 to 84,Apprenticeship qualifications,258
Individuals,Alloa and Grangemouth,Male,80 to 84,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,66
Individuals,Alloa and Grangemouth,Male,80 to 84,Degree level qualifications or above,160
Individuals,Alloa and Grangemouth,Male,85 and over,All people aged 16 and over,763
Individuals,Alloa and Grangemouth,Male,85 and over,No qualifications,287
Individuals,Alloa and Grangemouth,Male,85 and over,Lower school qualifications,90
Individuals,Alloa and Grangemouth,Male,85 and over,Upper school qualifications,10
Individuals,Alloa and Grangemouth,Male,85 and over,Apprenticeship qualifications,194
Individuals,Alloa and Grangemouth,Male,85 and over,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,53
Individuals,Alloa and Grangemouth,Male,85 and over,Degree level qualifications or above,126
Individuals,Angus and Perthshire Glens,All people aged 16 and over,Total,All people aged 16 and over,82586
Individuals,Angus and Perthshire Glens,All people aged 16 and over,Total,No qualifications,13714
Individuals,Angus and Perthshire Glens,All people aged 16 and over,Total,Lower school qualifications,16061
Individuals,Angus and Perthshire Glens,All people aged 16 and over,Total,Upper school qualifications,8419
Individuals,Angus and Perthshire Glens,All people aged 16 and over,Total,Apprenticeship qualifications,7701
Individuals,Angus and Perthshire Glens,All people aged 16 and over,Total,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,11426
Individuals,Angus and Perthshire Glens,All people aged 16 and over,Total,Degree level qualifications or above,25261
Individuals,Angus and Perthshire Glens,All people aged 16 and over,16 to 19,All people aged 16 and over,3469
Individuals,Angus and Perthshire Glens,All people aged 16 and over,16 to 19,No qualifications,352
Individuals,Angus and Perthshire Glens,All people aged 16 and over,16 to 19,Lower school qualifications,1456
Individuals,Angus and Perthshire Glens,All people aged 16 and over,16 to 19,Upper school qualifications,1127
Individuals,Angus and Perthshire Glens,All people aged 16 and over,16 to 19,Apprenticeship qualifications,111
Individuals,Angus and Perthshire Glens,All people aged 16 and over,16 to 19,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,315
Individuals,Angus and Perthshire Glens,All people aged 16 and over,16 to 19,Degree level qualifications or above,101
Individuals,Angus and Perthshire Glens,All people aged 16 and over,20 to 24,All people aged 16 and over,4112
Individuals,Angus and Perthshire Glens,All people aged 16 and over,20 to 24,No qualifications,237
Individuals,Angus and Perthshire Glens,All people aged 16 and over,20 to 24,Lower school qualifications,918
Individuals,Angus and Perthshire Glens,All people aged 16 and over,20 to 24,Upper school qualifications,727
Individuals,Angus and Perthshire Glens,All people aged 16 and over,20 to 24,Apprenticeship qualifications,416
Individuals,Angus and Perthshire Glens,All people aged 16 and over,20 to 24,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,993
Individuals,Angus and Perthshire Glens,All people aged 16 and over,20 to 24,Degree level qualifications or above,820
Individuals,Angus and Perthshire Glens,All people aged 16 and over,25 to 29,All people aged 16 and over,4670
Individuals,Angus and Perthshire Glens,All people aged 16 and over,25 to 29,No qualifications,263
Individuals,Angus and Perthshire Glens,All people aged 16 and over,25 to 29,Lower school qualifications,986
Individuals,Angus and Perthshire Glens,All people aged 16 and over,25 to 29,Upper school qualifications,486
Individuals,Angus and Perthshire Glens,All people aged 16 and over,25 to 29,Apprenticeship qualifications,389
Individuals,Angus and Perthshire Glens,All people aged 16 and over,25 to 29,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1080
Individuals,Angus and Perthshire Glens,All people aged 16 and over,25 to 29,Degree level qualifications or above,1465
Individuals,Angus and Perthshire Glens,All people aged 16 and over,30 to 34,All people aged 16 and over,4896
Individuals,Angus and Perthshire Glens,All people aged 16 and over,30 to 34,No qualifications,272
Individuals,Angus and Perthshire Glens,All people aged 16 and over,30 to 34,Lower school qualifications,990
Individuals,Angus and Perthshire Glens,All people aged 16 and over,30 to 34,Upper school qualifications,485
Individuals,Angus and Perthshire Glens,All people aged 16 and over,30 to 34,Apprenticeship qualifications,412
Individuals,Angus and Perthshire Glens,All people aged 16 and over,30 to 34,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1010
Individuals,Angus and Perthshire Glens,All people aged 16 and over,30 to 34,Degree level qualifications or above,1727
Individuals,Angus and Perthshire Glens,All people aged 16 and over,35 to 39,All people aged 16 and over,5170
Individuals,Angus and Perthshire Glens,All people aged 16 and over,35 to 39,No qualifications,276
Individuals,Angus and Perthshire Glens,All people aged 16 and over,35 to 39,Lower school qualifications,947
Individuals,Angus and Perthshire Glens,All people aged 16 and over,35 to 39,Upper school qualifications,553
Individuals,Angus and Perthshire Glens,All people aged 16 and over,35 to 39,Apprenticeship qualifications,395
Individuals,Angus and Perthshire Glens,All people aged 16 and over,35 to 39,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1036
Individuals,Angus and Perthshire Glens,All people aged 16 and over,35 to 39,Degree level qualifications or above,1963
Individuals,Angus and Perthshire Glens,All people aged 16 and over,40 to 44,All people aged 16 and over,5463
Individuals,Angus and Perthshire Glens,All people aged 16 and over,40 to 44,No qualifications,329
Individuals,Angus and Perthshire Glens,All people aged 16 and over,40 to 44,Lower school qualifications,965
Individuals,Angus and Perthshire Glens,All people aged 16 and over,40 to 44,Upper school qualifications,513
Individuals,Angus and Perthshire Glens,All people aged 16 and over,40 to 44,Apprenticeship qualifications,383
Individuals,Angus and Perthshire Glens,All people aged 16 and over,40 to 44,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1101
Individuals,Angus and Perthshire Glens,All people aged 16 and over,40 to 44,Degree level qualifications or above,2171
Individuals,Angus and Perthshire Glens,All people aged 16 and over,45 to 49,All people aged 16 and over,5623
Individuals,Angus and Perthshire Glens,All people aged 16 and over,45 to 49,No qualifications,435
Individuals,Angus and Perthshire Glens,All people aged 16 and over,45 to 49,Lower school qualifications,1056
Individuals,Angus and Perthshire Glens,All people aged 16 and over,45 to 49,Upper school qualifications,616
Individuals,Angus and Perthshire Glens,All people aged 16 and over,45 to 49,Apprenticeship qualifications,498
Individuals,Angus and Perthshire Glens,All people aged 16 and over,45 to 49,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1030
Individuals,Angus and Perthshire Glens,All people aged 16 and over,45 to 49,Degree level qualifications or above,1992
Individuals,Angus and Perthshire Glens,All people aged 16 and over,50 to 54,All people aged 16 and over,7362
Individuals,Angus and Perthshire Glens,All people aged 16 and over,50 to 54,No qualifications,795
Individuals,Angus and Perthshire Glens,All people aged 16 and over,50 to 54,Lower school qualifications,1617
Individuals,Angus and Perthshire Glens,All people aged 16 and over,50 to 54,Upper school qualifications,806
Individuals,Angus and Perthshire Glens,All people aged 16 and over,50 to 54,Apprenticeship qualifications,614
Individuals,Angus and Perthshire Glens,All people aged 16 and over,50 to 54,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1119
Individuals,Angus and Perthshire Glens,All people aged 16 and over,50 to 54,Degree level qualifications or above,2417
Individuals,Angus and Perthshire Glens,All people aged 16 and over,55 to 59,All people aged 16 and over,8203
Individuals,Angus and Perthshire Glens,All people aged 16 and over,55 to 59,No qualifications,1122
Individuals,Angus and Perthshire Glens,All people aged 16 and over,55 to 59,Lower school qualifications,1713
Individuals,Angus and Perthshire Glens,All people aged 16 and over,55 to 59,Upper school qualifications,841
Individuals,Angus and Perthshire Glens,All people aged 16 and over,55 to 59,Apprenticeship qualifications,781
Individuals,Angus and Perthshire Glens,All people aged 16 and over,55 to 59,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,1069
Individuals,Angus and Perthshire Glens,All people aged 16 and over,55 to 59,Degree level qualifications or above,2676
Individuals,Angus and Perthshire Glens,All people aged 16 and over,60 to 64,All people aged 16 and over,7922
Individuals,Angus and Perthshire Glens,All people aged 16 and over,60 to 64,No qualifications,1231
Individuals,Angus and Perthshire Glens,All people aged 16 and over,60 to 64,Lower school qualifications,1563
Individuals,Angus and Perthshire Glens,All people aged 16 and over,60 to 64,Upper school qualifications,730
Individuals,Angus and Perthshire Glens,All people aged 16 and over,60 to 64,Apprenticeship qualifications,887
Individuals,Angus and Perthshire Glens,All people aged 16 and over,60 to 64,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,923
Individuals,Angus and Perthshire Glens,All people aged 16 and over,60 to 64,Degree level qualifications or above,2591
Individuals,Angus and Perthshire Glens,All people aged 16 and over,65 to 69,All people aged 16 and over,6895
Individuals,Angus and Perthshire Glens,All people aged 16 and over,65 to 69,No qualifications,1477
Individuals,Angus and Perthshire Glens,All people aged 16 and over,65 to 69,Lower school qualifications,1006
Individuals,Angus and Perthshire Glens,All people aged 16 and over,65 to 69,Upper school qualifications,590
Individuals,Angus and Perthshire Glens,All people aged 16 and over,65 to 69,Apprenticeship qualifications,816
Individuals,Angus and Perthshire Glens,All people aged 16 and over,65 to 69,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,690
Individuals,Angus and Perthshire Glens,All people aged 16 and over,65 to 69,Degree level qualifications or above,2320
Individuals,Angus and Perthshire Glens,All people aged 16 and over,70 to 74,All people aged 16 and over,6748
Individuals,Angus and Perthshire Glens,All people aged 16 and over,70 to 74,No qualifications,2022
Individuals,Angus and Perthshire Glens,All people aged 16 and over,70 to 74,Lower school qualifications,996
Individuals,Angus and Perthshire Glens,All people aged 16 and over,70 to 74,Upper school qualifications,415
Individuals,Angus and Perthshire Glens,All people aged 16 and over,70 to 74,Apprenticeship qualifications,775
Individuals,Angus and Perthshire Glens,All people aged 16 and over,70 to 74,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,510
Individuals,Angus and Perthshire Glens,All people aged 16 and over,70 to 74,Degree level qualifications or above,2034
Individuals,Angus and Perthshire Glens,All people aged 16 and over,75 to 79,All people aged 16 and over,5275
Individuals,Angus and Perthshire Glens,All people aged 16 and over,75 to 79,No qualifications,1901
Individuals,Angus and Perthshire Glens,All people aged 16 and over,75 to 79,Lower school qualifications,837
Individuals,Angus and Perthshire Glens,All people aged 16 and over,75 to 79,Upper school qualifications,260
Individuals,Angus and Perthshire Glens,All people aged 16 and over,75 to 79,Apprenticeship qualifications,556
Individuals,Angus and Perthshire Glens,All people aged 16 and over,75 to 79,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,289
Individuals,Angus and Perthshire Glens,All people aged 16 and over,75 to 79,Degree level qualifications or above,1435
Individuals,Angus and Perthshire Glens,All people aged 16 and over,80 to 84,All people aged 16 and over,3403
Individuals,Angus and Perthshire Glens,All people aged 16 and over,80 to 84,No qualifications,1329
Individuals,Angus and Perthshire Glens,All people aged 16 and over,80 to 84,Lower school qualifications,553
Individuals,Angus and Perthshire Glens,All people aged 16 and over,80 to 84,Upper school qualifications,139
Individuals,Angus and Perthshire Glens,All people aged 16 and over,80 to 84,Apprenticeship qualifications,380
Individuals,Angus and Perthshire Glens,All people aged 16 and over,80 to 84,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,144
Individuals,Angus and Perthshire Glens,All people aged 16 and over,80 to 84,Degree level qualifications or above,858
Individuals,Angus and Perthshire Glens,All people aged 16 and over,85 and over,All people aged 16 and over,3375
Individuals,Angus and Perthshire Glens,All people aged 16 and over,85 and over,No qualifications,1672
Individuals,Angus and Perthshire Glens,All people aged 16 and over,85 and over,Lower school qualifications,455
Individuals,Angus and Perthshire Glens,All people aged 16 and over,85 and over,Upper school qualifications,127
Individuals,Angus and Perthshire Glens,All people aged 16 and over,85 and over,Apprenticeship qualifications,306
Individuals,Angus and Perthshire Glens,All people aged 16 and over,85 and over,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,120
Individuals,Angus and Perthshire Glens,All people aged 16 and over,85 and over,Degree level qualifications or above,691
Individuals,Angus and Perthshire Glens,Female,Total,All people aged 16 and over,42839
Individuals,Angus and Perthshire Glens,Female,Total,No qualifications,7403
Individuals,Angus and Perthshire Glens,Female,Total,Lower school qualifications,8853
Individuals,Angus and Perthshire Glens,Female,Total,Upper school qualifications,4788
Individuals,Angus and Perthshire Glens,Female,Total,Apprenticeship qualifications,1113
Individuals,Angus and Perthshire Glens,Female,Total,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,5901
Individuals,Angus and Perthshire Glens,Female,Total,Degree level qualifications or above,14781
Individuals,Angus and Perthshire Glens,Female,16 to 19,All people aged 16 and over,1645
Individuals,Angus and Perthshire Glens,Female,16 to 19,No qualifications,175
Individuals,Angus and Perthshire Glens,Female,16 to 19,Lower school qualifications,614
Individuals,Angus and Perthshire Glens,Female,16 to 19,Upper school qualifications,598
Individuals,Angus and Perthshire Glens,Female,16 to 19,Apprenticeship qualifications,47
Individuals,Angus and Perthshire Glens,Female,16 to 19,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,161
Individuals,Angus and Perthshire Glens,Female,16 to 19,Degree level qualifications or above,50
Individuals,Angus and Perthshire Glens,Female,20 to 24,All people aged 16 and over,1985
Individuals,Angus and Perthshire Glens,Female,20 to 24,No qualifications,93
Individuals,Angus and Perthshire Glens,Female,20 to 24,Lower school qualifications,380
Individuals,Angus and Perthshire Glens,Female,20 to 24,Upper school qualifications,375
Individuals,Angus and Perthshire Glens,Female,20 to 24,Apprenticeship qualifications,135
Individuals,Angus and Perthshire Glens,Female,20 to 24,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,516
Individuals,Angus and Perthshire Glens,Female,20 to 24,Degree level qualifications or above,486
Individuals,Angus and Perthshire Glens,Female,25 to 29,All people aged 16 and over,2415
Individuals,Angus and Perthshire Glens,Female,25 to 29,No qualifications,109
Individuals,Angus and Perthshire Glens,Female,25 to 29,Lower school qualifications,439
Individuals,Angus and Perthshire Glens,Female,25 to 29,Upper school qualifications,292
Individuals,Angus and Perthshire Glens,Female,25 to 29,Apprenticeship qualifications,92
Individuals,Angus and Perthshire Glens,Female,25 to 29,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,558
Individuals,Angus and Perthshire Glens,Female,25 to 29,Degree level qualifications or above,926
Individuals,Angus and Perthshire Glens,Female,30 to 34,All people aged 16 and over,2579
Individuals,Angus and Perthshire Glens,Female,30 to 34,No qualifications,126
Individuals,Angus and Perthshire Glens,Female,30 to 34,Lower school qualifications,487
Individuals,Angus and Perthshire Glens,Female,30 to 34,Upper school qualifications,273
Individuals,Angus and Perthshire Glens,Female,30 to 34,Apprenticeship qualifications,72
Individuals,Angus and Perthshire Glens,Female,30 to 34,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,507
Individuals,Angus and Perthshire Glens,Female,30 to 34,Degree level qualifications or above,1114
Individuals,Angus and Perthshire Glens,Female,35 to 39,All people aged 16 and over,2637
Individuals,Angus and Perthshire Glens,Female,35 to 39,No qualifications,122
Individuals,Angus and Perthshire Glens,Female,35 to 39,Lower school qualifications,454
Individuals,Angus and Perthshire Glens,Female,35 to 39,Upper school qualifications,290
Individuals,Angus and Perthshire Glens,Female,35 to 39,Apprenticeship qualifications,76
Individuals,Angus and Perthshire Glens,Female,35 to 39,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,510
Individuals,Angus and Perthshire Glens,Female,35 to 39,Degree level qualifications or above,1192
Individuals,Angus and Perthshire Glens,Female,40 to 44,All people aged 16 and over,2884
Individuals,Angus and Perthshire Glens,Female,40 to 44,No qualifications,159
Individuals,Angus and Perthshire Glens,Female,40 to 44,Lower school qualifications,475
Individuals,Angus and Perthshire Glens,Female,40 to 44,Upper school qualifications,288
Individuals,Angus and Perthshire Glens,Female,40 to 44,Apprenticeship qualifications,53
Individuals,Angus and Perthshire Glens,Female,40 to 44,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,580
Individuals,Angus and Perthshire Glens,Female,40 to 44,Degree level qualifications or above,1329
Individuals,Angus and Perthshire Glens,Female,45 to 49,All people aged 16 and over,2938
Individuals,Angus and Perthshire Glens,Female,45 to 49,No qualifications,191
Individuals,Angus and Perthshire Glens,Female,45 to 49,Lower school qualifications,537
Individuals,Angus and Perthshire Glens,Female,45 to 49,Upper school qualifications,356
Individuals,Angus and Perthshire Glens,Female,45 to 49,Apprenticeship qualifications,65
Individuals,Angus and Perthshire Glens,Female,45 to 49,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,550
Individuals,Angus and Perthshire Glens,Female,45 to 49,Degree level qualifications or above,1239
Individuals,Angus and Perthshire Glens,Female,50 to 54,All people aged 16 and over,3881
Individuals,Angus and Perthshire Glens,Female,50 to 54,No qualifications,357
Individuals,Angus and Perthshire Glens,Female,50 to 54,Lower school qualifications,876
Individuals,Angus and Perthshire Glens,Female,50 to 54,Upper school qualifications,495
Individuals,Angus and Perthshire Glens,Female,50 to 54,Apprenticeship qualifications,88
Individuals,Angus and Perthshire Glens,Female,50 to 54,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,634
Individuals,Angus and Perthshire Glens,Female,50 to 54,Degree level qualifications or above,1430
Individuals,Angus and Perthshire Glens,Female,55 to 59,All people aged 16 and over,4153
Individuals,Angus and Perthshire Glens,Female,55 to 59,No qualifications,487
Individuals,Angus and Perthshire Glens,Female,55 to 59,Lower school qualifications,952
Individuals,Angus and Perthshire Glens,Female,55 to 59,Upper school qualifications,505
Individuals,Angus and Perthshire Glens,Female,55 to 59,Apprenticeship qualifications,88
Individuals,Angus and Perthshire Glens,Female,55 to 59,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,590
Individuals,Angus and Perthshire Glens,Female,55 to 59,Degree level qualifications or above,1531
Individuals,Angus and Perthshire Glens,Female,60 to 64,All people aged 16 and over,4063
Individuals,Angus and Perthshire Glens,Female,60 to 64,No qualifications,605
Individuals,Angus and Perthshire Glens,Female,60 to 64,Lower school qualifications,956
Individuals,Angus and Perthshire Glens,Female,60 to 64,Upper school qualifications,447
Individuals,Angus and Perthshire Glens,Female,60 to 64,Apprenticeship qualifications,100
Individuals,Angus and Perthshire Glens,Female,60 to 64,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,473
Individuals,Angus and Perthshire Glens,Female,60 to 64,Degree level qualifications or above,1484
Individuals,Angus and Perthshire Glens,Female,65 to 69,All people aged 16 and over,3533
Individuals,Angus and Perthshire Glens,Female,65 to 69,No qualifications,791
Individuals,Angus and Perthshire Glens,Female,65 to 69,Lower school qualifications,666
Individuals,Angus and Perthshire Glens,Female,65 to 69,Upper school qualifications,324
Individuals,Angus and Perthshire Glens,Female,65 to 69,Apprenticeship qualifications,83
Individuals,Angus and Perthshire Glens,Female,65 to 69,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,328
Individuals,Angus and Perthshire Glens,Female,65 to 69,Degree level qualifications or above,1339
Individuals,Angus and Perthshire Glens,Female,70 to 74,All people aged 16 and over,3421
Individuals,Angus and Perthshire Glens,Female,70 to 74,No qualifications,1117
Individuals,Angus and Perthshire Glens,Female,70 to 74,Lower school qualifications,707
Individuals,Angus and Perthshire Glens,Female,70 to 74,Upper school qualifications,226
Individuals,Angus and Perthshire Glens,Female,70 to 74,Apprenticeship qualifications,72
Individuals,Angus and Perthshire Glens,Female,70 to 74,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,247
Individuals,Angus and Perthshire Glens,Female,70 to 74,Degree level qualifications or above,1053
Individuals,Angus and Perthshire Glens,Female,75 to 79,All people aged 16 and over,2831
Individuals,Angus and Perthshire Glens,Female,75 to 79,No qualifications,1112
Individuals,Angus and Perthshire Glens,Female,75 to 79,Lower school qualifications,596
Individuals,Angus and Perthshire Glens,Female,75 to 79,Upper school qualifications,151
Individuals,Angus and Perthshire Glens,Female,75 to 79,Apprenticeship qualifications,57
Individuals,Angus and Perthshire Glens,Female,75 to 79,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,138
Individuals,Angus and Perthshire Glens,Female,75 to 79,Degree level qualifications or above,778
Individuals,Angus and Perthshire Glens,Female,80 to 84,All people aged 16 and over,1869
Individuals,Angus and Perthshire Glens,Female,80 to 84,No qualifications,844
Individuals,Angus and Perthshire Glens,Female,80 to 84,Lower school qualifications,385
Individuals,Angus and Perthshire Glens,Female,80 to 84,Upper school qualifications,89
Individuals,Angus and Perthshire Glens,Female,80 to 84,Apprenticeship qualifications,47
Individuals,Angus and Perthshire Glens,Female,80 to 84,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,61
Individuals,Angus and Perthshire Glens,Female,80 to 84,Degree level qualifications or above,443
Individuals,Angus and Perthshire Glens,Female,85 and over,All people aged 16 and over,2005
Individuals,Angus and Perthshire Glens,Female,85 and over,No qualifications,1119
Individuals,Angus and Perthshire Glens,Female,85 and over,Lower school qualifications,333
Individuals,Angus and Perthshire Glens,Female,85 and over,Upper school qualifications,78
Individuals,Angus and Perthshire Glens,Female,85 and over,Apprenticeship qualifications,34
Individuals,Angus and Perthshire Glens,Female,85 and over,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,50
Individuals,Angus and Perthshire Glens,Female,85 and over,Degree level qualifications or above,391
Individuals,Angus and Perthshire Glens,Male,Total,All people aged 16 and over,39747
Individuals,Angus and Perthshire Glens,Male,Total,No qualifications,6311
Individuals,Angus and Perthshire Glens,Male,Total,Lower school qualifications,7208
Individuals,Angus and Perthshire Glens,Male,Total,Upper school qualifications,3631
Individuals,Angus and Perthshire Glens,Male,Total,Apprenticeship qualifications,6588
Individuals,Angus and Perthshire Glens,Male,Total,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,5529
Individuals,Angus and Perthshire Glens,Male,Total,Degree level qualifications or above,10480
Individuals,Angus and Perthshire Glens,Male,16 to 19,All people aged 16 and over,1824
Individuals,Angus and Perthshire Glens,Male,16 to 19,No qualifications,176
Individuals,Angus and Perthshire Glens,Male,16 to 19,Lower school qualifications,842
Individuals,Angus and Perthshire Glens,Male,16 to 19,Upper school qualifications,532
Individuals,Angus and Perthshire Glens,Male,16 to 19,Apprenticeship qualifications,64
Individuals,Angus and Perthshire Glens,Male,16 to 19,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,154
Individuals,Angus and Perthshire Glens,Male,16 to 19,Degree level qualifications or above,51
Individuals,Angus and Perthshire Glens,Male,20 to 24,All people aged 16 and over,2127
Individuals,Angus and Perthshire Glens,Male,20 to 24,No qualifications,144
Individuals,Angus and Perthshire Glens,Male,20 to 24,Lower school qualifications,535
Individuals,Angus and Perthshire Glens,Male,20 to 24,Upper school qualifications,352
Individuals,Angus and Perthshire Glens,Male,20 to 24,Apprenticeship qualifications,281
Individuals,Angus and Perthshire Glens,Male,20 to 24,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,477
Individuals,Angus and Perthshire Glens,Male,20 to 24,Degree level qualifications or above,334
Individuals,Angus and Perthshire Glens,Male,25 to 29,All people aged 16 and over,2255
Individuals,Angus and Perthshire Glens,Male,25 to 29,No qualifications,155
Individuals,Angus and Perthshire Glens,Male,25 to 29,Lower school qualifications,547
Individuals,Angus and Perthshire Glens,Male,25 to 29,Upper school qualifications,198
Individuals,Angus and Perthshire Glens,Male,25 to 29,Apprenticeship qualifications,294
Individuals,Angus and Perthshire Glens,Male,25 to 29,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,525
Individuals,Angus and Perthshire Glens,Male,25 to 29,Degree level qualifications or above,539
Individuals,Angus and Perthshire Glens,Male,30 to 34,All people aged 16 and over,2317
Individuals,Angus and Perthshire Glens,Male,30 to 34,No qualifications,143
Individuals,Angus and Perthshire Glens,Male,30 to 34,Lower school qualifications,503
Individuals,Angus and Perthshire Glens,Male,30 to 34,Upper school qualifications,212
Individuals,Angus and Perthshire Glens,Male,30 to 34,Apprenticeship qualifications,341
Individuals,Angus and Perthshire Glens,Male,30 to 34,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,503
Individuals,Angus and Perthshire Glens,Male,30 to 34,Degree level qualifications or above,613
Individuals,Angus and Perthshire Glens,Male,35 to 39,All people aged 16 and over,2532
Individuals,Angus and Perthshire Glens,Male,35 to 39,No qualifications,161
Individuals,Angus and Perthshire Glens,Male,35 to 39,Lower school qualifications,493
Individuals,Angus and Perthshire Glens,Male,35 to 39,Upper school qualifications,261
Individuals,Angus and Perthshire Glens,Male,35 to 39,Apprenticeship qualifications,319
Individuals,Angus and Perthshire Glens,Male,35 to 39,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,527
Individuals,Angus and Perthshire Glens,Male,35 to 39,Degree level qualifications or above,771
Individuals,Angus and Perthshire Glens,Male,40 to 44,All people aged 16 and over,2579
Individuals,Angus and Perthshire Glens,Male,40 to 44,No qualifications,170
Individuals,Angus and Perthshire Glens,Male,40 to 44,Lower school qualifications,493
Individuals,Angus and Perthshire Glens,Male,40 to 44,Upper school qualifications,225
Individuals,Angus and Perthshire Glens,Male,40 to 44,Apprenticeship qualifications,333
