SuperWEB2(tm),,,,,
,,,,,
Census 2022-Person-2Fv1,,,,,
Scotland's Census 2022 - National Records of Scotland Table UV501a - Highest level of qualification by sex by age (16) All people aged 16 and over,,,,,
United Kingdom Parliamentary Constituency 2024 by Sex and Age by Highest Level of Qualification,,,,,
Counting: Individuals,,,,,
,,,,,
Filters:,,,,,
Default Summation,Individuals,,,,
,,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Sex,Age,Highest Level of Qualification,Count
Individuals,East Renfrewshire,All people aged 16 and over,55 to 59,Upper school qualifications,749
Individuals,East Renfrewshire,All people aged 16 and over,55 to 59,Apprenticeship qualifications,430
Individuals,East Renfrewshire,All people aged 16 and over,55 to 59,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,909
Individuals,East Renfrewshire,All people aged 16 and over,55 to 59,Degree level qualifications or above,3102
Individuals,East Renfrewshire,All people aged 16 and over,60 to 64,All people aged 16 and over,6537
Individuals,East Renfrewshire,All people aged 16 and over,60 to 64,No qualifications,839
Individuals,East Renfrewshire,All people aged 16 and over,60 to 64,Lower school qualifications,1012
Individuals,East Renfrewshire,All people aged 16 and over,60 to 64,Upper school qualifications,774
Individuals,East Renfrewshire,All people aged 16 and over,60 to 64,Apprenticeship qualifications,540
Individuals,East Renfrewshire,All people aged 16 and over,60 to 64,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,751
Individuals,East Renfrewshire,All people aged 16 and over,60 to 64,Degree level qualifications or above,2621
Individuals,East Renfrewshire,All people aged 16 and over,65 to 69,All people aged 16 and over,5834
Individuals,East Renfrewshire,All people aged 16 and over,65 to 69,No qualifications,1063
Individuals,East Renfrewshire,All people aged 16 and over,65 to 69,Lower school qualifications,713
Individuals,East Renfrewshire,All people aged 16 and over,65 to 69,Upper school qualifications,650
Individuals,East Renfrewshire,All people aged 16 and over,65 to 69,Apprenticeship qualifications,483
Individuals,East Renfrewshire,All people aged 16 and over,65 to 69,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,555
Individuals,East Renfrewshire,All people aged 16 and over,65 to 69,Degree level qualifications or above,2370
Individuals,East Renfrewshire,All people aged 16 and over,70 to 74,All people aged 16 and over,5091
Individuals,East Renfrewshire,All people aged 16 and over,70 to 74,No qualifications,1130
Individuals,East Renfrewshire,All people aged 16 and over,70 to 74,Lower school qualifications,704
Individuals,East Renfrewshire,All people aged 16 and over,70 to 74,Upper school qualifications,479
Individuals,East Renfrewshire,All people aged 16 and over,70 to 74,Apprenticeship qualifications,504
Individuals,East Renfrewshire,All people aged 16 and over,70 to 74,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,414
Individuals,East Renfrewshire,All people aged 16 and over,70 to 74,Degree level qualifications or above,1860
Individuals,East Renfrewshire,All people aged 16 and over,75 to 79,All people aged 16 and over,4151
Individuals,East Renfrewshire,All people aged 16 and over,75 to 79,No qualifications,1250
Individuals,East Renfrewshire,All people aged 16 and over,75 to 79,Lower school qualifications,606
Individuals,East Renfrewshire,All people aged 16 and over,75 to 79,Upper school qualifications,309
Individuals,East Renfrewshire,All people aged 16 and over,75 to 79,Apprenticeship qualifications,387
Individuals,East Renfrewshire,All people aged 16 and over,75 to 79,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,283
Individuals,East Renfrewshire,All people aged 16 and over,75 to 79,Degree level qualifications or above,1318
Individuals,East Renfrewshire,All people aged 16 and over,80 to 84,All people aged 16 and over,2778
Individuals,East Renfrewshire,All people aged 16 and over,80 to 84,No qualifications,904
Individuals,East Renfrewshire,All people aged 16 and over,80 to 84,Lower school qualifications,390
Individuals,East Renfrewshire,All people aged 16 and over,80 to 84,Upper school qualifications,168
Individuals,East Renfrewshire,All people aged 16 and over,80 to 84,Apprenticeship qualifications,323
Individuals,East Renfrewshire,All people aged 16 and over,80 to 84,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,182
Individuals,East Renfrewshire,All people aged 16 and over,80 to 84,Degree level qualifications or above,807
Individuals,East Renfrewshire,All people aged 16 and over,85 and over,All people aged 16 and over,3071
Individuals,East Renfrewshire,All people aged 16 and over,85 and over,No qualifications,1228
Individuals,East Renfrewshire,All people aged 16 and over,85 and over,Lower school qualifications,520
Individuals,East Renfrewshire,All people aged 16 and over,85 and over,Upper school qualifications,170
Individuals,East Renfrewshire,All people aged 16 and over,85 and over,Apprenticeship qualifications,242
Individuals,East Renfrewshire,All people aged 16 and over,85 and over,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,150
Individuals,East Renfrewshire,All people aged 16 and over,85 and over,Degree level qualifications or above,765
