SuperWEB2(tm),,,
,,,
Census 2022-Household-2Ev1,,,
Scotland's Census 2022 - National Records of Scotland Table UV404 - Household tenure - Households All occupied households,,,
United Kingdom Parliamentary Constituency 2024 by Household Tenure,,,
Counting: Households,,,
,,,
Filters:,,,
Default Summation,Households,,
,,,
Counting,United Kingdom Parliamentary Constituency 2024,Household Tenure,Count
Households,Alloa and Grangemouth,All occupied households,43681
Households,Alloa and Grangemouth,Owned: Total,28193
Households,Alloa and Grangemouth,Owned: Owned outright,14594
Households,Alloa and Grangemouth,Owned: Owned with a mortgage or loan,13335
Households,Alloa and Grangemouth,Owned: Shared ownership (part owned and part rented),48
Households,Alloa and Grangemouth,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),216
Households,Alloa and Grangemouth,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,11293
Households,Alloa and Grangemouth,Private rented: Total,3617
Households,Alloa and Grangemouth,Private rented: Private landlord or letting agency,3445
Households,Alloa and Grangemouth,Private rented: Other,168
Households,Alloa and Grangemouth,Lives Rent Free,578
Households,Angus and Perthshire Glens,All occupied households,46525
Households,Angus and Perthshire Glens,Owned: Total,30772
Households,Angus and Perthshire Glens,Owned: Owned outright,18988
Households,Angus and Perthshire Glens,Owned: Owned with a mortgage or loan,11367
Households,Angus and Perthshire Glens,Owned: Shared ownership (part owned and part rented),135
Households,Angus and Perthshire Glens,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),277
Households,Angus and Perthshire Glens,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,8408
Households,Angus and Perthshire Glens,Private rented: Total,6236
Households,Angus and Perthshire Glens,Private rented: Private landlord or letting agency,6025
Households,Angus and Perthshire Glens,Private rented: Other,210
Households,Angus and Perthshire Glens,Lives Rent Free,1110
Households,Arbroath and Broughty Ferry,All occupied households,45808
Households,Arbroath and Broughty Ferry,Owned: Total,31122
Households,Arbroath and Broughty Ferry,Owned: Owned outright,17693
Households,Arbroath and Broughty Ferry,Owned: Owned with a mortgage or loan,13111
Households,Arbroath and Broughty Ferry,Owned: Shared ownership (part owned and part rented),93
Households,Arbroath and Broughty Ferry,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),225
Households,Arbroath and Broughty Ferry,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,9268
Households,Arbroath and Broughty Ferry,Private rented: Total,4828
Households,Arbroath and Broughty Ferry,Private rented: Private landlord or letting agency,4624
Households,Arbroath and Broughty Ferry,Private rented: Other,204
Households,Arbroath and Broughty Ferry,Lives Rent Free,590
Households,"Argyll, Bute and South Lochaber",All occupied households,44349
Households,"Argyll, Bute and South Lochaber",Owned: Total,29887
Households,"Argyll, Bute and South Lochaber",Owned: Owned outright,19607
Households,"Argyll, Bute and South Lochaber",Owned: Owned with a mortgage or loan,10003
Households,"Argyll, Bute and South Lochaber",Owned: Shared ownership (part owned and part rented),111
Households,"Argyll, Bute and South Lochaber",Owned: Shared Equity (e.g. LIFT or Help-to-Buy),163
Households,"Argyll, Bute and South Lochaber",Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,8438
Households,"Argyll, Bute and South Lochaber",Private rented: Total,5085
Households,"Argyll, Bute and South Lochaber",Private rented: Private landlord or letting agency,4559
Households,"Argyll, Bute and South Lochaber",Private rented: Other,526
Households,"Argyll, Bute and South Lochaber",Lives Rent Free,939
Households,Bathgate and Linlithgow,All occupied households,42817
Households,Bathgate and Linlithgow,Owned: Total,27847
Households,Bathgate and Linlithgow,Owned: Owned outright,13165
Households,Bathgate and Linlithgow,Owned: Owned with a mortgage or loan,14188
Households,Bathgate and Linlithgow,Owned: Shared ownership (part owned and part rented),65
Households,Bathgate and Linlithgow,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),428
Households,Bathgate and Linlithgow,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,10737
Households,Bathgate and Linlithgow,Private rented: Total,3771
Households,Bathgate and Linlithgow,Private rented: Private landlord or letting agency,3625
Households,Bathgate and Linlithgow,Private rented: Other,139
Households,Bathgate and Linlithgow,Lives Rent Free,469
Households,"Caithness, Sutherland and Easter Ross",All occupied households,45541
Households,"Caithness, Sutherland and Easter Ross",Owned: Total,31277
Households,"Caithness, Sutherland and Easter Ross",Owned: Owned outright,20223
Households,"Caithness, Sutherland and Easter Ross",Owned: Owned with a mortgage or loan,10573
Households,"Caithness, Sutherland and Easter Ross",Owned: Shared ownership (part owned and part rented),86
Households,"Caithness, Sutherland and Easter Ross",Owned: Shared Equity (e.g. LIFT or Help-to-Buy),395
Households,"Caithness, Sutherland and Easter Ross",Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,9123
Households,"Caithness, Sutherland and Easter Ross",Private rented: Total,4075
Households,"Caithness, Sutherland and Easter Ross",Private rented: Private landlord or letting agency,3892
Households,"Caithness, Sutherland and Easter Ross",Private rented: Other,183
Households,"Caithness, Sutherland and Easter Ross",Lives Rent Free,1064
Households,Coatbridge and Bellshill,All occupied households,42252
Households,Coatbridge and Bellshill,Owned: Total,25872
Households,Coatbridge and Bellshill,Owned: Owned outright,11973
Households,Coatbridge and Bellshill,Owned: Owned with a mortgage or loan,13662
Households,Coatbridge and Bellshill,Owned: Shared ownership (part owned and part rented),46
Households,Coatbridge and Bellshill,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),191
Households,Coatbridge and Bellshill,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,12413
Households,Coatbridge and Bellshill,Private rented: Total,3498
Households,Coatbridge and Bellshill,Private rented: Private landlord or letting agency,3405
Households,Coatbridge and Bellshill,Private rented: Other,93
Households,Coatbridge and Bellshill,Lives Rent Free,469
Households,Cowdenbeath and Kirkcaldy,All occupied households,44645
Households,Cowdenbeath and Kirkcaldy,Owned: Total,29055
Households,Cowdenbeath and Kirkcaldy,Owned: Owned outright,15725
Households,Cowdenbeath and Kirkcaldy,Owned: Owned with a mortgage or loan,13018
Households,Cowdenbeath and Kirkcaldy,Owned: Shared ownership (part owned and part rented),63
Households,Cowdenbeath and Kirkcaldy,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),249
Households,Cowdenbeath and Kirkcaldy,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,10129
Households,Cowdenbeath and Kirkcaldy,Private rented: Total,4876
Households,Cowdenbeath and Kirkcaldy,Private rented: Private landlord or letting agency,4719
Households,Cowdenbeath and Kirkcaldy,Private rented: Other,157
Households,Cowdenbeath and Kirkcaldy,Lives Rent Free,585
Households,Cumbernauld and Kirkintilloch,All occupied households,40584
Households,Cumbernauld and Kirkintilloch,Owned: Total,27991
Households,Cumbernauld and Kirkintilloch,Owned: Owned outright,13829
Households,Cumbernauld and Kirkintilloch,Owned: Owned with a mortgage or loan,13837
Households,Cumbernauld and Kirkintilloch,Owned: Shared ownership (part owned and part rented),39
Households,Cumbernauld and Kirkintilloch,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),286
Households,Cumbernauld and Kirkintilloch,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,8579
Households,Cumbernauld and Kirkintilloch,Private rented: Total,3626
Households,Cumbernauld and Kirkintilloch,Private rented: Private landlord or letting agency,3493
Households,Cumbernauld and Kirkintilloch,Private rented: Other,133
Households,Cumbernauld and Kirkintilloch,Lives Rent Free,391
Households,Dumfries and Galloway,All occupied households,46707
Households,Dumfries and Galloway,Owned: Total,30374
Households,Dumfries and Galloway,Owned: Owned outright,20050
Households,Dumfries and Galloway,Owned: Owned with a mortgage or loan,10008
Households,Dumfries and Galloway,Owned: Shared ownership (part owned and part rented),139
Households,Dumfries and Galloway,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),174
Households,Dumfries and Galloway,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,8845
Households,Dumfries and Galloway,Private rented: Total,6353
Households,Dumfries and Galloway,Private rented: Private landlord or letting agency,6111
Households,Dumfries and Galloway,Private rented: Other,239
Households,Dumfries and Galloway,Lives Rent Free,1135
Households,"Dumfriesshire, Clydesdale and Tweeddale",All occupied households,40997
Households,"Dumfriesshire, Clydesdale and Tweeddale",Owned: Total,27403
Households,"Dumfriesshire, Clydesdale and Tweeddale",Owned: Owned outright,17318
Households,"Dumfriesshire, Clydesdale and Tweeddale",Owned: Owned with a mortgage or loan,9873
Households,"Dumfriesshire, Clydesdale and Tweeddale",Owned: Shared ownership (part owned and part rented),82
Households,"Dumfriesshire, Clydesdale and Tweeddale",Owned: Shared Equity (e.g. LIFT or Help-to-Buy),128
Households,"Dumfriesshire, Clydesdale and Tweeddale",Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,7709
Households,"Dumfriesshire, Clydesdale and Tweeddale",Private rented: Total,4962
Households,"Dumfriesshire, Clydesdale and Tweeddale",Private rented: Private landlord or letting agency,4775
Households,"Dumfriesshire, Clydesdale and Tweeddale",Private rented: Other,187
Households,"Dumfriesshire, Clydesdale and Tweeddale",Lives Rent Free,929
Households,Dundee Central,All occupied households,50447
Households,Dundee Central,Owned: Total,23301
Households,Dundee Central,Owned: Owned outright,12298
Households,Dundee Central,Owned: Owned with a mortgage or loan,10622
Households,Dundee Central,Owned: Shared ownership (part owned and part rented),184
Households,Dundee Central,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),201
Households,Dundee Central,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,13969
Households,Dundee Central,Private rented: Total,12630
Households,Dundee Central,Private rented: Private landlord or letting agency,12365
Households,Dundee Central,Private rented: Other,261
Households,Dundee Central,Lives Rent Free,544
Households,Dunfermline and Dollar,All occupied households,42688
Households,Dunfermline and Dollar,Owned: Total,29951
Households,Dunfermline and Dollar,Owned: Owned outright,14894
Households,Dunfermline and Dollar,Owned: Owned with a mortgage or loan,14646
Households,Dunfermline and Dollar,Owned: Shared ownership (part owned and part rented),142
Households,Dunfermline and Dollar,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),269
Households,Dunfermline and Dollar,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,7818
Households,Dunfermline and Dollar,Private rented: Total,4497
Households,Dunfermline and Dollar,Private rented: Private landlord or letting agency,4318
Households,Dunfermline and Dollar,Private rented: Other,178
Households,Dunfermline and Dollar,Lives Rent Free,422
Households,East Kilbride and Strathaven,All occupied households,42774
Households,East Kilbride and Strathaven,Owned: Total,31414
Households,East Kilbride and Strathaven,Owned: Owned outright,15509
Households,East Kilbride and Strathaven,Owned: Owned with a mortgage or loan,15681
Households,East Kilbride and Strathaven,Owned: Shared ownership (part owned and part rented),33
Households,East Kilbride and Strathaven,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),191
Households,East Kilbride and Strathaven,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,6639
Households,East Kilbride and Strathaven,Private rented: Total,4280
Households,East Kilbride and Strathaven,Private rented: Private landlord or letting agency,4154
Households,East Kilbride and Strathaven,Private rented: Other,128
Households,East Kilbride and Strathaven,Lives Rent Free,440
Households,Edinburgh East and Musselburgh,All occupied households,53227
Households,Edinburgh East and Musselburgh,Owned: Total,28607
Households,Edinburgh East and Musselburgh,Owned: Owned outright,13591
Households,Edinburgh East and Musselburgh,Owned: Owned with a mortgage or loan,14168
Households,Edinburgh East and Musselburgh,Owned: Shared ownership (part owned and part rented),290
Households,Edinburgh East and Musselburgh,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),558
Households,Edinburgh East and Musselburgh,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,10771
Households,Edinburgh East and Musselburgh,Private rented: Total,13276
Households,Edinburgh East and Musselburgh,Private rented: Private landlord or letting agency,12959
Households,Edinburgh East and Musselburgh,Private rented: Other,317
