SuperWEB2(tm),,,
,,,
Census 2022-Household-2Ev1,,,
Scotland's Census 2022 - National Records of Scotland Table UV404 - Household tenure - Households All occupied households,,,
United Kingdom Parliamentary Constituency 2024 by Household Tenure,,,
Counting: Households,,,
,,,
Filters:,,,
Default Summation,Households,,
,,,
Counting,United Kingdom Parliamentary Constituency 2024,Household Tenure,Count
Households,Inverclyde and Renfrewshire West,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,9680
Households,Inverclyde and Renfrewshire West,Private rented: Total,4342
Households,Inverclyde and Renfrewshire West,Private rented: Private landlord or letting agency,4152
Households,Inverclyde and Renfrewshire West,Private rented: Other,194
Households,Inverclyde and Renfrewshire West,Lives Rent Free,398
Households,"Inverness, Skye and West Ross-shire",All occupied households,50093
Households,"Inverness, Skye and West Ross-shire",Owned: Total,33298
Households,"Inverness, Skye and West Ross-shire",Owned: Owned outright,18799
Households,"Inverness, Skye and West Ross-shire",Owned: Owned with a mortgage or loan,13443
Households,"Inverness, Skye and West Ross-shire",Owned: Shared ownership (part owned and part rented),195
Households,"Inverness, Skye and West Ross-shire",Owned: Shared Equity (e.g. LIFT or Help-to-Buy),861
Households,"Inverness, Skye and West Ross-shire",Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,9926
Households,"Inverness, Skye and West Ross-shire",Private rented: Total,5971
Households,"Inverness, Skye and West Ross-shire",Private rented: Private landlord or letting agency,5617
Households,"Inverness, Skye and West Ross-shire",Private rented: Other,354
Households,"Inverness, Skye and West Ross-shire",Lives Rent Free,895
Households,Livingston,All occupied households,44193
Households,Livingston,Owned: Total,28907
Households,Livingston,Owned: Owned outright,13402
Households,Livingston,Owned: Owned with a mortgage or loan,15006
Households,Livingston,Owned: Shared ownership (part owned and part rented),49
Households,Livingston,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),454
Households,Livingston,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,10637
Households,Livingston,Private rented: Total,4185
Households,Livingston,Private rented: Private landlord or letting agency,4023
Households,Livingston,Private rented: Other,165
Households,Livingston,Lives Rent Free,464
Households,Lothian East,All occupied households,41870
Households,Lothian East,Owned: Total,28538
Households,Lothian East,Owned: Owned outright,14829
Households,Lothian East,Owned: Owned with a mortgage or loan,13200
Households,Lothian East,Owned: Shared ownership (part owned and part rented),118
Households,Lothian East,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),394
Households,Lothian East,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,9506
Households,Lothian East,Private rented: Total,3274
Households,Lothian East,Private rented: Private landlord or letting agency,3166
Households,Lothian East,Private rented: Other,108
Households,Lothian East,Lives Rent Free,552
Households,Mid Dunbartonshire,All occupied households,40272
Households,Mid Dunbartonshire,Owned: Total,34418
Households,Mid Dunbartonshire,Owned: Owned outright,19364
Households,Mid Dunbartonshire,Owned: Owned with a mortgage or loan,14857
Households,Mid Dunbartonshire,Owned: Shared ownership (part owned and part rented),60
Households,Mid Dunbartonshire,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),138
Households,Mid Dunbartonshire,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3225
Households,Mid Dunbartonshire,Private rented: Total,2291
Households,Mid Dunbartonshire,Private rented: Private landlord or letting agency,2192
Households,Mid Dunbartonshire,Private rented: Other,102
Households,Mid Dunbartonshire,Lives Rent Free,335
Households,"Moray West, Nairn and Strathspey",All occupied households,45493
Households,"Moray West, Nairn and Strathspey",Owned: Total,30517
Households,"Moray West, Nairn and Strathspey",Owned: Owned outright,18291
Households,"Moray West, Nairn and Strathspey",Owned: Owned with a mortgage or loan,11847
Households,"Moray West, Nairn and Strathspey",Owned: Shared ownership (part owned and part rented),92
Households,"Moray West, Nairn and Strathspey",Owned: Shared Equity (e.g. LIFT or Help-to-Buy),284
Households,"Moray West, Nairn and Strathspey",Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,8127
Households,"Moray West, Nairn and Strathspey",Private rented: Total,5926
Households,"Moray West, Nairn and Strathspey",Private rented: Private landlord or letting agency,5122
Households,"Moray West, Nairn and Strathspey",Private rented: Other,804
Households,"Moray West, Nairn and Strathspey",Lives Rent Free,920
Households,"Motherwell, Wishaw and Carluke",All occupied households,44207
Households,"Motherwell, Wishaw and Carluke",Owned: Total,26436
Households,"Motherwell, Wishaw and Carluke",Owned: Owned outright,12861
Households,"Motherwell, Wishaw and Carluke",Owned: Owned with a mortgage or loan,13294
Households,"Motherwell, Wishaw and Carluke",Owned: Shared ownership (part owned and part rented),83
Households,"Motherwell, Wishaw and Carluke",Owned: Shared Equity (e.g. LIFT or Help-to-Buy),199
Households,"Motherwell, Wishaw and Carluke",Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,13654
Households,"Motherwell, Wishaw and Carluke",Private rented: Total,3555
Households,"Motherwell, Wishaw and Carluke",Private rented: Private landlord or letting agency,3411
Households,"Motherwell, Wishaw and Carluke",Private rented: Other,144
Households,"Motherwell, Wishaw and Carluke",Lives Rent Free,564
Households,North East Fife,All occupied households,40975
Households,North East Fife,Owned: Total,27543
Households,North East Fife,Owned: Owned outright,17336
Households,North East Fife,Owned: Owned with a mortgage or loan,9905
Households,North East Fife,Owned: Shared ownership (part owned and part rented),162
Households,North East Fife,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),138
Households,North East Fife,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,6650
Households,North East Fife,Private rented: Total,6159
Households,North East Fife,Private rented: Private landlord or letting agency,5814
Households,North East Fife,Private rented: Other,349
Households,North East Fife,Lives Rent Free,623
Households,Paisley and Renfrewshire North,All occupied households,43222
Households,Paisley and Renfrewshire North,Owned: Total,28784
Households,Paisley and Renfrewshire North,Owned: Owned outright,14059
Households,Paisley and Renfrewshire North,Owned: Owned with a mortgage or loan,14389
Households,Paisley and Renfrewshire North,Owned: Shared ownership (part owned and part rented),58
Households,Paisley and Renfrewshire North,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),279
Households,Paisley and Renfrewshire North,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,9376
Households,Paisley and Renfrewshire North,Private rented: Total,4573
Households,Paisley and Renfrewshire North,Private rented: Private landlord or letting agency,4426
Households,Paisley and Renfrewshire North,Private rented: Other,147
Households,Paisley and Renfrewshire North,Lives Rent Free,488
Households,Paisley and Renfrewshire South,All occupied households,45518
Households,Paisley and Renfrewshire South,Owned: Total,28797
Households,Paisley and Renfrewshire South,Owned: Owned outright,14638
Households,Paisley and Renfrewshire South,Owned: Owned with a mortgage or loan,13878
Households,Paisley and Renfrewshire South,Owned: Shared ownership (part owned and part rented),60
Households,Paisley and Renfrewshire South,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),224
Households,Paisley and Renfrewshire South,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,10936
Households,Paisley and Renfrewshire South,Private rented: Total,5299
Households,Paisley and Renfrewshire South,Private rented: Private landlord or letting agency,5091
Households,Paisley and Renfrewshire South,Private rented: Other,211
Households,Paisley and Renfrewshire South,Lives Rent Free,490
Households,Perth and Kinross-shire,All occupied households,47153
Households,Perth and Kinross-shire,Owned: Total,31590
Households,Perth and Kinross-shire,Owned: Owned outright,18032
Households,Perth and Kinross-shire,Owned: Owned with a mortgage or loan,12718
Households,Perth and Kinross-shire,Owned: Shared ownership (part owned and part rented),260
Households,Perth and Kinross-shire,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),580
Households,Perth and Kinross-shire,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,8139
Households,Perth and Kinross-shire,Private rented: Total,6602
Households,Perth and Kinross-shire,Private rented: Private landlord or letting agency,6376
Households,Perth and Kinross-shire,Private rented: Other,226
Households,Perth and Kinross-shire,Lives Rent Free,822
Households,Rutherglen,All occupied households,42600
Households,Rutherglen,Owned: Total,29117
Households,Rutherglen,Owned: Owned outright,13875
Households,Rutherglen,Owned: Owned with a mortgage or loan,14943
Households,Rutherglen,Owned: Shared ownership (part owned and part rented),55
Households,Rutherglen,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),244
Households,Rutherglen,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,9279
Households,Rutherglen,Private rented: Total,3775
Households,Rutherglen,Private rented: Private landlord or letting agency,3614
Households,Rutherglen,Private rented: Other,161
Households,Rutherglen,Lives Rent Free,432
Households,Stirling and Strathallan,All occupied households,44517
Households,Stirling and Strathallan,Owned: Total,30005
Households,Stirling and Strathallan,Owned: Owned outright,16825
Households,Stirling and Strathallan,Owned: Owned with a mortgage or loan,12855
Households,Stirling and Strathallan,Owned: Shared ownership (part owned and part rented),78
Households,Stirling and Strathallan,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),247
Households,Stirling and Strathallan,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,8198
Households,Stirling and Strathallan,Private rented: Total,5593
Households,Stirling and Strathallan,Private rented: Private landlord or letting agency,5389
Households,Stirling and Strathallan,Private rented: Other,203
Households,Stirling and Strathallan,Lives Rent Free,721
Households,West Dunbartonshire,All occupied households,43878
Households,West Dunbartonshire,Owned: Total,25085
Households,West Dunbartonshire,Owned: Owned outright,13089
Households,West Dunbartonshire,Owned: Owned with a mortgage or loan,11752
Households,West Dunbartonshire,Owned: Shared ownership (part owned and part rented),109
Households,West Dunbartonshire,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),132
Households,West Dunbartonshire,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,14774
Households,West Dunbartonshire,Private rented: Total,3556
Households,West Dunbartonshire,Private rented: Private landlord or letting agency,3401
Households,West Dunbartonshire,Private rented: Other,157
Households,West Dunbartonshire,Lives Rent Free,459
Households,"Ayr, Carrick and Cumnock",All occupied households,42378
Households,"Ayr, Carrick and Cumnock",Owned: Total,27419
Households,"Ayr, Carrick and Cumnock",Owned: Owned outright,16640
Households,"Ayr, Carrick and Cumnock",Owned: Owned with a mortgage or loan,10625
Households,"Ayr, Carrick and Cumnock",Owned: Shared ownership (part owned and part rented),51
Households,"Ayr, Carrick and Cumnock",Owned: Shared Equity (e.g. LIFT or Help-to-Buy),106
Households,"Ayr, Carrick and Cumnock",Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,9812
Households,"Ayr, Carrick and Cumnock",Private rented: Total,4460
Households,"Ayr, Carrick and Cumnock",Private rented: Private landlord or letting agency,4332
Households,"Ayr, Carrick and Cumnock",Private rented: Other,128
Households,"Ayr, Carrick and Cumnock",Lives Rent Free,684
Households,"Berwickshire, Roxburgh and Selkirk",All occupied households,46321
Households,"Berwickshire, Roxburgh and Selkirk",Owned: Total,28360
Households,"Berwickshire, Roxburgh and Selkirk",Owned: Owned outright,18117
Households,"Berwickshire, Roxburgh and Selkirk",Owned: Owned with a mortgage or loan,9977
Households,"Berwickshire, Roxburgh and Selkirk",Owned: Shared ownership (part owned and part rented),98
Households,"Berwickshire, Roxburgh and Selkirk",Owned: Shared Equity (e.g. LIFT or Help-to-Buy),165
Households,"Berwickshire, Roxburgh and Selkirk",Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,10157
Households,"Berwickshire, Roxburgh and Selkirk",Private rented: Total,6596
Households,"Berwickshire, Roxburgh and Selkirk",Private rented: Private landlord or letting agency,6411
Households,"Berwickshire, Roxburgh and Selkirk",Private rented: Other,188
Households,"Berwickshire, Roxburgh and Selkirk",Lives Rent Free,1208
Households,Central Ayrshire,All occupied households,41117
Households,Central Ayrshire,Owned: Total,27441
Households,Central Ayrshire,Owned: Owned outright,15491
Households,Central Ayrshire,Owned: Owned with a mortgage or loan,11756
Households,Central Ayrshire,Owned: Shared ownership (part owned and part rented),62
Households,Central Ayrshire,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),132
Households,Central Ayrshire,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,9048
Households,Central Ayrshire,Private rented: Total,4097
Households,Central Ayrshire,Private rented: Private landlord or letting agency,3981
Households,Central Ayrshire,Private rented: Other,116
Households,Central Ayrshire,Lives Rent Free,531
Households,Kilmarnock and Loudoun,All occupied households,44098
Households,Kilmarnock and Loudoun,Owned: Total,28452
Households,Kilmarnock and Loudoun,Owned: Owned outright,14944
Households,Kilmarnock and Loudoun,Owned: Owned with a mortgage or loan,13294
Households,Kilmarnock and Loudoun,Owned: Shared ownership (part owned and part rented),37
Households,Kilmarnock and Loudoun,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),179
Households,Kilmarnock and Loudoun,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,10792
Households,Kilmarnock and Loudoun,Private rented: Total,4347
Households,Kilmarnock and Loudoun,Private rented: Private landlord or letting agency,4195
Households,Kilmarnock and Loudoun,Private rented: Other,156
Households,Kilmarnock and Loudoun,Lives Rent Free,503
Households,West Aberdeenshire and Kincardine,All occupied households,41681
Households,West Aberdeenshire and Kincardine,Owned: Total,32078
Households,West Aberdeenshire and Kincardine,Owned: Owned outright,17101
Households,West Aberdeenshire and Kincardine,Owned: Owned with a mortgage or loan,14489
Households,West Aberdeenshire and Kincardine,Owned: Shared ownership (part owned and part rented),110
Households,West Aberdeenshire and Kincardine,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),378
Households,West Aberdeenshire and Kincardine,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,4786
Households,West Aberdeenshire and Kincardine,Private rented: Total,4051
Households,West Aberdeenshire and Kincardine,Private rented: Private landlord or letting agency,3920
Households,West Aberdeenshire and Kincardine,Private rented: Other,133
Households,West Aberdeenshire and Kincardine,Lives Rent Free,764
,,,
,,,
INFO,Data has been perturbed,,
,,,
,,,
"Crown copyright 2024 For further information on variables, see https://www.scotlandscensus.gov.uk/about/metadata-a-to-z/ In order to protect against disclosure of personal information, Statistical Disclosure Control has been applied to the data/outputs.  Cells might not sum to sub totals and totals due to these Statistical Disclosure Controls. To find out more on this visit https://www.scotlandscensus.gov.uk/about/2022-census/statistical-methodology/statistical-disclosure-control/",,,
,,,
(c) Copyright WingArc Australia 2018,,,
