SuperWEB2(tm),,,,
,,,,
Census 2022-Household-2Ev1,,,,
Scotland's Census 2022 - National Records of Scotland Table UV416 - Household tenure by age of Household Reference Person All Household Reference Persons aged 16 and over,,,,
United Kingdom Parliamentary Constituency 2024 and Age of Household Reference Person by Household Tenure,,,,
Counting: Households,,,,
,,,,
Filters:,,,,
Default Summation,Households,,,
,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Age of Household Reference Person,Household Tenure,Count
Households,Arbroath and Broughty Ferry,Household Reference Person is aged 65 and over,Private rented: Total,750
Households,Arbroath and Broughty Ferry,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,686
Households,Arbroath and Broughty Ferry,Household Reference Person is aged 65 and over,Private rented: Other,64
Households,Arbroath and Broughty Ferry,Household Reference Person is aged 65 and over,Lives Rent Free,275
Households,"Argyll, Bute and South Lochaber",All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,44349
Households,"Argyll, Bute and South Lochaber",All Household Reference Persons aged 16 and over,Owned: Total,29887
Households,"Argyll, Bute and South Lochaber",All Household Reference Persons aged 16 and over,Owned: Owned outright,19607
Households,"Argyll, Bute and South Lochaber",All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,10003
Households,"Argyll, Bute and South Lochaber",All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),111
Households,"Argyll, Bute and South Lochaber",All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),163
Households,"Argyll, Bute and South Lochaber",All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,8438
Households,"Argyll, Bute and South Lochaber",All Household Reference Persons aged 16 and over,Private rented: Total,5085
Households,"Argyll, Bute and South Lochaber",All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,4559
Households,"Argyll, Bute and South Lochaber",All Household Reference Persons aged 16 and over,Private rented: Other,526
Households,"Argyll, Bute and South Lochaber",All Household Reference Persons aged 16 and over,Lives Rent Free,939
Households,"Argyll, Bute and South Lochaber",Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,4657
Households,"Argyll, Bute and South Lochaber",Household Reference Person ages 16 to 34,Owned: Total,1818
Households,"Argyll, Bute and South Lochaber",Household Reference Person ages 16 to 34,Owned: Owned outright,353
Households,"Argyll, Bute and South Lochaber",Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,1422
Households,"Argyll, Bute and South Lochaber",Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),12
Households,"Argyll, Bute and South Lochaber",Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),31
Households,"Argyll, Bute and South Lochaber",Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,1343
Households,"Argyll, Bute and South Lochaber",Household Reference Person ages 16 to 34,Private rented: Total,1353
Households,"Argyll, Bute and South Lochaber",Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,1177
Households,"Argyll, Bute and South Lochaber",Household Reference Person ages 16 to 34,Private rented: Other,176
Households,"Argyll, Bute and South Lochaber",Household Reference Person ages 16 to 34,Lives Rent Free,143
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,8418
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 35 to 49,Owned: Total,4731
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 35 to 49,Owned: Owned outright,1078
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,3586
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),17
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),50
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2019
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 35 to 49,Private rented: Total,1469
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1282
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 35 to 49,Private rented: Other,183
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 35 to 49,Lives Rent Free,203
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,14485
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 50 to 64,Owned: Total,10330
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 50 to 64,Owned: Owned outright,6212
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,4050
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),40
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),24
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2602
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 50 to 64,Private rented: Total,1309
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,1223
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 50 to 64,Private rented: Other,86
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 50 to 64,Lives Rent Free,244
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,16789
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 65 and over,Owned: Total,13008
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 65 and over,Owned: Owned outright,11964
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,948
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),42
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),54
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2474
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 65 and over,Private rented: Total,958
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,877
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 65 and over,Private rented: Other,81
Households,"Argyll, Bute and South Lochaber",Household Reference Person is aged 65 and over,Lives Rent Free,349
Households,Bathgate and Linlithgow,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,42815
Households,Bathgate and Linlithgow,All Household Reference Persons aged 16 and over,Owned: Total,27845
Households,Bathgate and Linlithgow,All Household Reference Persons aged 16 and over,Owned: Owned outright,13165
Households,Bathgate and Linlithgow,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,14187
Households,Bathgate and Linlithgow,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),65
Households,Bathgate and Linlithgow,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),428
Households,Bathgate and Linlithgow,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,10737
Households,Bathgate and Linlithgow,All Household Reference Persons aged 16 and over,Private rented: Total,3771
Households,Bathgate and Linlithgow,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,3625
Households,Bathgate and Linlithgow,All Household Reference Persons aged 16 and over,Private rented: Other,139
Households,Bathgate and Linlithgow,All Household Reference Persons aged 16 and over,Lives Rent Free,469
Households,Bathgate and Linlithgow,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,6744
Households,Bathgate and Linlithgow,Household Reference Person ages 16 to 34,Owned: Total,3261
Households,Bathgate and Linlithgow,Household Reference Person ages 16 to 34,Owned: Owned outright,281
Households,Bathgate and Linlithgow,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,2818
Households,Bathgate and Linlithgow,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),7
Households,Bathgate and Linlithgow,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),158
Households,Bathgate and Linlithgow,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2234
Households,Bathgate and Linlithgow,Household Reference Person ages 16 to 34,Private rented: Total,1198
Households,Bathgate and Linlithgow,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,1160
Households,Bathgate and Linlithgow,Household Reference Person ages 16 to 34,Private rented: Other,38
Households,Bathgate and Linlithgow,Household Reference Person ages 16 to 34,Lives Rent Free,45
Households,Bathgate and Linlithgow,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,11214
Households,Bathgate and Linlithgow,Household Reference Person is aged 35 to 49,Owned: Total,7241
Households,Bathgate and Linlithgow,Household Reference Person is aged 35 to 49,Owned: Owned outright,841
Households,Bathgate and Linlithgow,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,6192
Households,Bathgate and Linlithgow,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),10
Households,Bathgate and Linlithgow,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),198
Households,Bathgate and Linlithgow,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2671
Households,Bathgate and Linlithgow,Household Reference Person is aged 35 to 49,Private rented: Total,1241
Households,Bathgate and Linlithgow,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1209
Households,Bathgate and Linlithgow,Household Reference Person is aged 35 to 49,Private rented: Other,31
Households,Bathgate and Linlithgow,Household Reference Person is aged 35 to 49,Lives Rent Free,64
Households,Bathgate and Linlithgow,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,13144
Households,Bathgate and Linlithgow,Household Reference Person is aged 50 to 64,Owned: Total,9112
Households,Bathgate and Linlithgow,Household Reference Person is aged 50 to 64,Owned: Owned outright,4535
Households,Bathgate and Linlithgow,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,4507
Households,Bathgate and Linlithgow,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),18
Households,Bathgate and Linlithgow,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),54
Households,Bathgate and Linlithgow,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3141
Households,Bathgate and Linlithgow,Household Reference Person is aged 50 to 64,Private rented: Total,816
Households,Bathgate and Linlithgow,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,794
Households,Bathgate and Linlithgow,Household Reference Person is aged 50 to 64,Private rented: Other,22
Households,Bathgate and Linlithgow,Household Reference Person is aged 50 to 64,Lives Rent Free,75
Households,Bathgate and Linlithgow,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,11713
Households,Bathgate and Linlithgow,Household Reference Person is aged 65 and over,Owned: Total,8228
Households,Bathgate and Linlithgow,Household Reference Person is aged 65 and over,Owned: Owned outright,7508
Households,Bathgate and Linlithgow,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,670
Households,Bathgate and Linlithgow,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),30
Households,Bathgate and Linlithgow,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),20
Households,Bathgate and Linlithgow,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2685
Households,Bathgate and Linlithgow,Household Reference Person is aged 65 and over,Private rented: Total,515
Households,Bathgate and Linlithgow,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,463
Households,Bathgate and Linlithgow,Household Reference Person is aged 65 and over,Private rented: Other,48
Households,Bathgate and Linlithgow,Household Reference Person is aged 65 and over,Lives Rent Free,285
Households,"Caithness, Sutherland and Easter Ross",All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,45541
Households,"Caithness, Sutherland and Easter Ross",All Household Reference Persons aged 16 and over,Owned: Total,31277
Households,"Caithness, Sutherland and Easter Ross",All Household Reference Persons aged 16 and over,Owned: Owned outright,20223
Households,"Caithness, Sutherland and Easter Ross",All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,10573
Households,"Caithness, Sutherland and Easter Ross",All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),86
Households,"Caithness, Sutherland and Easter Ross",All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),395
Households,"Caithness, Sutherland and Easter Ross",All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,9123
Households,"Caithness, Sutherland and Easter Ross",All Household Reference Persons aged 16 and over,Private rented: Total,4075
Households,"Caithness, Sutherland and Easter Ross",All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,3892
Households,"Caithness, Sutherland and Easter Ross",All Household Reference Persons aged 16 and over,Private rented: Other,183
Households,"Caithness, Sutherland and Easter Ross",All Household Reference Persons aged 16 and over,Lives Rent Free,1064
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,5582
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person ages 16 to 34,Owned: Total,2390
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person ages 16 to 34,Owned: Owned outright,372
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,1871
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),15
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),136
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,1931
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person ages 16 to 34,Private rented: Total,1103
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,1057
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person ages 16 to 34,Private rented: Other,46
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person ages 16 to 34,Lives Rent Free,158
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,9403
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 35 to 49,Owned: Total,5705
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 35 to 49,Owned: Owned outright,1399
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,4132
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),23
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),152
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2399
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 35 to 49,Private rented: Total,1104
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1060
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 35 to 49,Private rented: Other,44
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 35 to 49,Lives Rent Free,193
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,14356
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 50 to 64,Owned: Total,10439
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 50 to 64,Owned: Owned outright,6554
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,3810
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),32
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),47
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2552
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 50 to 64,Private rented: Total,1114
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,1079
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 50 to 64,Private rented: Other,35
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 50 to 64,Lives Rent Free,254
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,16198
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 65 and over,Owned: Total,12743
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 65 and over,Owned: Owned outright,11899
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,761
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),20
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),63
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2241
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 65 and over,Private rented: Total,754
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,696
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 65 and over,Private rented: Other,58
Households,"Caithness, Sutherland and Easter Ross",Household Reference Person is aged 65 and over,Lives Rent Free,465
Households,Coatbridge and Bellshill,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,42252
Households,Coatbridge and Bellshill,All Household Reference Persons aged 16 and over,Owned: Total,25872
Households,Coatbridge and Bellshill,All Household Reference Persons aged 16 and over,Owned: Owned outright,11973
Households,Coatbridge and Bellshill,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,13662
Households,Coatbridge and Bellshill,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),46
Households,Coatbridge and Bellshill,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),191
Households,Coatbridge and Bellshill,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,12413
Households,Coatbridge and Bellshill,All Household Reference Persons aged 16 and over,Private rented: Total,3498
Households,Coatbridge and Bellshill,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,3405
Households,Coatbridge and Bellshill,All Household Reference Persons aged 16 and over,Private rented: Other,93
Households,Coatbridge and Bellshill,All Household Reference Persons aged 16 and over,Lives Rent Free,469
Households,Coatbridge and Bellshill,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,6294
Households,Coatbridge and Bellshill,Household Reference Person ages 16 to 34,Owned: Total,2955
Households,Coatbridge and Bellshill,Household Reference Person ages 16 to 34,Owned: Owned outright,314
Households,Coatbridge and Bellshill,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,2546
Households,Coatbridge and Bellshill,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),3
Households,Coatbridge and Bellshill,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),93
Households,Coatbridge and Bellshill,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2053
Households,Coatbridge and Bellshill,Household Reference Person ages 16 to 34,Private rented: Total,1214
Households,Coatbridge and Bellshill,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,1195
Households,Coatbridge and Bellshill,Household Reference Person ages 16 to 34,Private rented: Other,19
Households,Coatbridge and Bellshill,Household Reference Person ages 16 to 34,Lives Rent Free,73
Households,Coatbridge and Bellshill,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,10735
Households,Coatbridge and Bellshill,Household Reference Person is aged 35 to 49,Owned: Total,6429
Households,Coatbridge and Bellshill,Household Reference Person is aged 35 to 49,Owned: Owned outright,791
Households,Coatbridge and Bellshill,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,5557
Households,Coatbridge and Bellshill,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),17
Households,Coatbridge and Bellshill,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),64
Households,Coatbridge and Bellshill,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3049
Households,Coatbridge and Bellshill,Household Reference Person is aged 35 to 49,Private rented: Total,1189
Households,Coatbridge and Bellshill,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1166
Households,Coatbridge and Bellshill,Household Reference Person is aged 35 to 49,Private rented: Other,23
Households,Coatbridge and Bellshill,Household Reference Person is aged 35 to 49,Lives Rent Free,68
Households,Coatbridge and Bellshill,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,13921
Households,Coatbridge and Bellshill,Household Reference Person is aged 50 to 64,Owned: Total,9105
Households,Coatbridge and Bellshill,Household Reference Person is aged 50 to 64,Owned: Owned outright,4298
Households,Coatbridge and Bellshill,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,4780
Households,Coatbridge and Bellshill,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),11
Households,Coatbridge and Bellshill,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),15
Households,Coatbridge and Bellshill,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3971
Households,Coatbridge and Bellshill,Household Reference Person is aged 50 to 64,Private rented: Total,751
Households,Coatbridge and Bellshill,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,728
Households,Coatbridge and Bellshill,Household Reference Person is aged 50 to 64,Private rented: Other,23
Households,Coatbridge and Bellshill,Household Reference Person is aged 50 to 64,Lives Rent Free,90
Households,Coatbridge and Bellshill,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,11301
Households,Coatbridge and Bellshill,Household Reference Person is aged 65 and over,Owned: Total,7383
Households,Coatbridge and Bellshill,Household Reference Person is aged 65 and over,Owned: Owned outright,6569
Households,Coatbridge and Bellshill,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,780
Households,Coatbridge and Bellshill,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),12
Households,Coatbridge and Bellshill,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),19
Households,Coatbridge and Bellshill,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,3336
Households,Coatbridge and Bellshill,Household Reference Person is aged 65 and over,Private rented: Total,344
Households,Coatbridge and Bellshill,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,316
Households,Coatbridge and Bellshill,Household Reference Person is aged 65 and over,Private rented: Other,28
Households,Coatbridge and Bellshill,Household Reference Person is aged 65 and over,Lives Rent Free,238
Households,Cowdenbeath and Kirkcaldy,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,44645
Households,Cowdenbeath and Kirkcaldy,All Household Reference Persons aged 16 and over,Owned: Total,29055
Households,Cowdenbeath and Kirkcaldy,All Household Reference Persons aged 16 and over,Owned: Owned outright,15725
Households,Cowdenbeath and Kirkcaldy,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,13018
Households,Cowdenbeath and Kirkcaldy,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),63
Households,Cowdenbeath and Kirkcaldy,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),249
Households,Cowdenbeath and Kirkcaldy,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,10129
Households,Cowdenbeath and Kirkcaldy,All Household Reference Persons aged 16 and over,Private rented: Total,4876
Households,Cowdenbeath and Kirkcaldy,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,4719
Households,Cowdenbeath and Kirkcaldy,All Household Reference Persons aged 16 and over,Private rented: Other,157
Households,Cowdenbeath and Kirkcaldy,All Household Reference Persons aged 16 and over,Lives Rent Free,585
Households,Cowdenbeath and Kirkcaldy,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,6556
Households,Cowdenbeath and Kirkcaldy,Household Reference Person ages 16 to 34,Owned: Total,2943
Households,Cowdenbeath and Kirkcaldy,Household Reference Person ages 16 to 34,Owned: Owned outright,307
Households,Cowdenbeath and Kirkcaldy,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,2537
Households,Cowdenbeath and Kirkcaldy,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),9
Households,Cowdenbeath and Kirkcaldy,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),93
Households,Cowdenbeath and Kirkcaldy,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,1932
Households,Cowdenbeath and Kirkcaldy,Household Reference Person ages 16 to 34,Private rented: Total,1594
Households,Cowdenbeath and Kirkcaldy,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,1543
Households,Cowdenbeath and Kirkcaldy,Household Reference Person ages 16 to 34,Private rented: Other,51
Households,Cowdenbeath and Kirkcaldy,Household Reference Person ages 16 to 34,Lives Rent Free,87
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,10610
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 35 to 49,Owned: Total,6367
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 35 to 49,Owned: Owned outright,915
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,5351
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),22
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),83
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2573
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 35 to 49,Private rented: Total,1584
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1550
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 35 to 49,Private rented: Other,34
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 35 to 49,Lives Rent Free,86
Households,Cowdenbeath and Kirkcaldy,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,13560
